"sz002513"    "蓝丰生化"
"sz002193"    "如意集团"
"sz002067"    "景兴纸业"
"sz300773"    "拉卡拉"
"sz000888"    "峨眉山Ａ"
"sz002945"    "华林证券"
"sz300196"    "长海股份"
"sz000850"    "华茂股份"
"sz300593"    "新雷能"
"sz000681"    "视觉中国"
"sz000789"    "万年青"
"sz000042"    "中洲控股"
"sz300063"    "天龙集团"
"sz002201"    "正威新材"
"sz002736"    "国信证券"
"sz002637"    "赞宇科技"
"sz003018"    "金富科技"
"sz300285"    "国瓷材料"
"sz300264"    "佳创视讯"
"sz300302"    "同有科技"
"sz002140"    "东华科技"
"sz300067"    "安诺其"
"sz002351"    "漫步者"
"sz000811"    "冰轮环境"
"sz300300"    "海峡创新"
"sz300537"    "广信材料"
"sz300146"    "汤臣倍健"
"sz002038"    "双鹭药业"
"sz300227"    "光韵达"
"sz000423"    "东阿阿胶"
"sz300869"    "康泰医学"
"sz002019"    "亿帆医药"
"sz003035"    "南网能源"
"sz002597"    "金禾实业"
"sz002821"    "凯莱英"
"sz002216"    "三全食品"
"sz000030"    "富奥股份"
"sz300049"    "福瑞股份"
"sz000045"    "深纺织Ａ"
"sz300332"    "天壕环境"
"sz000739"    "普洛药业"
"sz301316"    "慧博云通"
"sz000031"    "大悦城"
"sz000014"    "沙河股份"
"sz002721"    "金一文化"
"sz002627"    "三峡旅游"
"sz002158"    "汉钟精机"
"sz300740"    "水羊股份"
"sz300428"    "立中集团"
"sz002123"    "梦网科技"
"sz300758"    "七彩化学"
"sz300396"    "迪瑞医疗"
"sz003007"    "直真科技"
"sz002343"    "慈文传媒"
"sz002962"    "五方光电"
"sz300071"    "福石控股"
"sz002511"    "中顺洁柔"
"sz002941"    "新疆交建"
"sz300284"    "苏交科"
"sz300208"    "青岛中程"
"sz000738"    "航发控制"
"sz002676"    "顺威股份"
"sz000089"    "深圳机场"
"sz002912"    "中新赛克"
"sz300573"    "兴齐眼药"
"sz300439"    "美康生物"
"sz002371"    "北方华创"
"sz300464"    "星徽股份"
"sz000800"    "一汽解放"
"sz002573"    "清新环境"
"sz000628"    "高新发展"
"sz002226"    "江南化工"
"sz000597"    "东北制药"
"sz002302"    "西部建设"
"sz300162"    "雷曼光电"
"sz002835"    "同为股份"
"sz002723"    "小崧股份"
"sz003025"    "思进智能"
"sz002651"    "利君股份"
"sz300633"    "开立医疗"
"sz000802"    "北京文化"
"sz000505"    "京粮控股"
"sz300821"    "东岳硅材"
"sz300314"    "戴维医疗"
"sz000010"    "美丽生态"
"sz000859"    "国风新材"
"sz000819"    "岳阳兴长"
"sz000606"    "*ST顺利"
"sz300882"    "万胜智能"
"sz002039"    "黔源电力"
"sz002051"    "中工国际"
"sz300509"    "新美星"
"sz002947"    "恒铭达"
"sz300213"    "佳讯飞鸿"
"sz300425"    "中建环能"
"sz002304"    "洋河股份"
"sz002632"    "道明光学"
"sz300086"    "康芝药业"
"sz300673"    "佩蒂股份"
"sz002233"    "塔牌集团"
"sz300233"    "金城医药"
"sz002891"    "中宠股份"
"sz002860"    "星帅尔"
"sz002278"    "神开股份"
"sz000017"    "深中华A"
"sz301223"    "C中荣"
"sz300708"    "聚灿光电"
"sz300016"    "北陆药业"
"sz300195"    "长荣股份"
"sz300496"    "中科创达"
"sz000679"    "大连友谊"
"sz000913"    "钱江摩托"
"sz300657"    "弘信电子"
"sz002438"    "江苏神通"
"sz000639"    "西王食品"
"sz002163"    "海南发展"
"sz300391"    "康跃科技"
"sz002727"    "一心堂"
"sz300078"    "思创医惠"
"sz300163"    "先锋新材"
"sz300318"    "博晖创新"
"sz300358"    "楚天科技"
"sz300350"    "华鹏飞"
"sz002026"    "山东威达"
"sz000411"    "英特集团"
"sz002713"    "东易日盛"
"sz301078"    "孩子王"
"sz300395"    "菲利华"
"sz002376"    "新北洋"
"sz002691"    "冀凯股份"
"sz002508"    "老板电器"
"sz002203"    "海亮股份"
"sz000070"    "特发信息"
"sz002838"    "道恩股份"
"sz300497"    "富祥药业"
"sz002338"    "奥普光电"
"sz002726"    "龙大美食"
"sz002943"    "宇晶股份"
"sz002318"    "久立特材"
"sz002867"    "周大生"
"sz002345"    "潮宏基"
"sz300291"    "百纳千成"
"sz002222"    "福晶科技"
"sz000061"    "农 产 品"
"sz002920"    "德赛西威"
"sz002608"    "江苏国信"
"sz002153"    "石基信息"
"sz000785"    "居然之家"
"sz301018"    "申菱环境"
"sz300050"    "世纪鼎利"
"sz000710"    "贝瑞基因"
"sz300623"    "捷捷微电"
"sz002398"    "垒知集团"
"sz002902"    "铭普光磁"
"sz000691"    "亚太实业"
"sz000715"    "中兴商业"
"sz002876"    "三利谱"
"sz002928"    "华夏航空"
"sz000903"    "云内动力"
"sz002842"    "翔鹭钨业"
"sz000153"    "丰原药业"
"sz000823"    "超声电子"
"sz000599"    "青岛双星"
"sz002762"    "金发拉比"
"sz300558"    "贝达药业"
"sz001213"    "中铁特货"
"sz000605"    "渤海股份"
"sz002898"    "赛隆药业"
"sz002563"    "森马服饰"
"sz002949"    "华阳国际"
"sz002645"    "华宏科技"
"sz002967"    "广电计量"
"sz002616"    "长青集团"
"sz000905"    "厦门港务"
"sz002209"    "达 意 隆"
"sz300241"    "瑞丰光电"
"sz301285"    "鸿日达"
"sz002753"    "永东股份"
"sz002937"    "兴瑞科技"
"sz002174"    "游族网络"
"sz300120"    "经纬辉开"
"sz002211"    "ST宏达"
"sz300884"    "狄耐克"
"sz003003"    "天元股份"
"sz002205"    "国统股份"
"sz000655"    "金岭矿业"
"sz002825"    "纳尔股份"
"sz300605"    "恒锋信息"
"sz002852"    "道道全"
"sz300419"    "浩丰科技"
"sz000576"    "甘化科工"
"sz000862"    "银星能源"
"sz300494"    "盛天网络"
"sz300738"    "奥飞数据"
"sz002576"    "通达动力"
"sz002453"    "华软科技"
"sz000719"    "中原传媒"
"sz300554"    "三超新材"
"sz002097"    "山河智能"
"sz300527"    "中船应急"
"sz002353"    "杰瑞股份"
"sz300137"    "先河环保"
"sz002696"    "百洋股份"
"sz300250"    "初灵信息"
"sz002522"    "浙江众成"
"sz300225"    "金力泰"
"sz300645"    "正元智慧"
"sz000720"    "新能泰山"
"sz300724"    "捷佳伟创"
"sz002320"    "海峡股份"
"sz300045"    "华力创通"
"sz000408"    "藏格矿业"
"sz300856"    "科思股份"
"sz300640"    "德艺文创"
"sz000610"    "西安旅游"
"sz300175"    "朗源股份"
"sz002021"    "ST中捷"
"sz300780"    "德恩精工"
