"sh600615"    "丰华股份"
"sh603566"    "普莱柯"
"sh600391"    "航发科技"
"sh688509"    "正元地信"
"sh688048"    "长光华芯"
"sh600084"    "中葡股份"
"sh603256"    "宏和科技"
"sh600763"    "通策医疗"
"sh600962"    "国投中鲁"
"sh601028"    "玉龙股份"
"sh688373"    "盟科药业"
"sh600184"    "光电股份"
"sh603222"    "济民医疗"
"sh688218"    "江苏北人"
"sh688565"    "力源科技"
"sh688800"    "瑞可达"
"sh603133"    "碳元科技"
"sh603160"    "汇顶科技"
"sh603233"    "大参林"
"sh600779"    "水井坊"
"sh605183"    "确成股份"
"sh600560"    "金自天正"
"sh600640"    "国脉文化"
"sh600749"    "西藏旅游"
"sh603881"    "数据港"
"sh603768"    "常青股份"
"sh600052"    "东望时代"
"sh600429"    "三元股份"
"sh688186"    "广大特材"
"sh603598"    "引力传媒"
"sh601827"    "三峰环境"
"sh603859"    "能科科技"
"sh603938"    "三孚股份"
"sh600482"    "中国动力"
"sh600626"    "申达股份"
"sh601158"    "重庆水务"
"sh600638"    "新黄浦"
"sh603377"    "东方时尚"
"sh600135"    "乐凯胶片"
"sh600754"    "锦江酒店"
"sh601019"    "山东出版"
"sh600361"    "华联综超"
"sh603995"    "甬金股份"
"sh603022"    "新通联"
"sh688578"    "艾力斯"
"sh603115"    "海星股份"
"sh600132"    "重庆啤酒"
"sh603039"    "ST泛微"
"sh600682"    "南京新百"
"sh605567"    "春雪食品"
"sh603029"    "天鹅股份"
"sh688277"    "天智航"
"sh688106"    "金宏气体"
"sh605066"    "天正电气"
"sh603176"    "汇通集团"
"sh603228"    "景旺电子"
"sh603678"    "火炬电子"
"sh601965"    "中国汽研"
"sh603161"    "科华控股"
"sh603779"    "威龙股份"
"sh603217"    "元利科技"
"sh603833"    "欧派家居"
"sh603882"    "金域医学"
"sh600054"    "黄山旅游"
"sh600232"    "金鹰股份"
"sh605151"    "西上海"
"sh601368"    "绿城水务"
"sh600290"    "ST华仪"
"sh688600"    "皖仪科技"
"sh605020"    "永和股份"
"sh600783"    "鲁信创投"
"sh603080"    "新疆火炬"
"sh603215"    "比依股份"
"sh603595"    "东尼电子"
"sh603721"    "中广天择"
"sh600764"    "中国海防"
"sh600449"    "宁夏建材"
"sh688082"    "盛美上海"
"sh688099"    "晶晨股份"
"sh600080"    "金花股份"
"sh603197"    "保隆科技"
"sh603348"    "文灿股份"
"sh603999"    "读者传媒"
"sh601330"    "绿色动力"
"sh688122"    "西部超导"
"sh688728"    "格科微"
